Index,DAY,School,SchoolType,StartTime,AvgMaxDailyTemp,AvgMinDailyTemp,AvgIndoorRelativeHumidity,IndoorTempDuringSurvey,Grade,Age,Gender,FormalClothing,TotalCLOwithChair,SwC,MC,TSV
0,2.0,1.0,0.0,5.0,20.5,5.0,49.0,15.9,5.0,9.0,0.0,0.0,1.26,2.0,4.0,0.0
1,2.0,1.0,0.0,5.0,20.5,5.0,54.9,15.8,5.0,9.0,0.0,0.0,1.26,2.0,4.0,0.0
2,2.0,1.0,0.0,5.0,20.5,5.0,73.4,13.9,5.0,9.0,0.0,0.0,1.26,2.0,4.0,0.0
3,2.0,1.0,0.0,5.0,20.5,5.0,45.3,15.3,5.0,9.0,0.0,0.0,1.26,2.0,4.0,0.0
1389,1.0,4.0,1.0,3.0,22.4,4.7,72.0,14.5,3.0,9.0,1.0,1.0,1.5,2.0,4.0,
0,1.0,4.0,1.0,3.0,22.4,4.7,55.6,14.5,3.0,9.0,1.0,1.0,1.5,2.0,4.0,0.0
1,1.0,4.0,1.0,3.0,22.4,4.7,46.3,14.5,3.0,9.0,1.0,1.0,1.5,2.0,4.0,0.0
2,1.0,4.0,1.0,3.0,22.4,4.7,63.4,16.7,3.0,9.0,1.0,1.0,1.5,2.0,4.0,0.0
3,1.0,4.0,1.0,3.0,22.4,4.7,68.9,17.0,3.0,9.0,1.0,1.0,1.5,2.0,4.0,0.0
1433,1.0,4.0,1.0,4.0,22.4,4.7,65.2,14.4,4.0,10.0,1.0,1.0,1.69,2.0,3.0,
0,1.0,4.0,1.0,4.0,22.4,4.7,71.2,14.4,4.0,10.0,1.0,1.0,1.69,2.0,3.0,0.0
1,1.0,4.0,1.0,4.0,22.4,4.7,58.5,16.7,4.0,10.0,1.0,1.0,1.69,2.0,3.0,0.0
2,1.0,4.0,1.0,4.0,22.4,4.7,67.1,14.4,4.0,10.0,1.0,1.0,1.69,2.0,3.0,0.0
3,1.0,4.0,1.0,4.0,22.4,4.7,68.8,14.9,4.0,10.0,1.0,1.0,1.69,2.0,3.0,0.0
732,3.0,2.0,1.0,1.0,22.9,6.6,57.2,14.1,4.0,9.0,1.0,1.0,1.19,2.0,4.0,
0,3.0,2.0,1.0,1.0,22.9,6.6,64.4,17.5,4.0,9.0,1.0,1.0,1.19,2.0,4.0,0.0
1,3.0,2.0,1.0,1.0,22.9,6.6,69.4,14.1,4.0,9.0,1.0,1.0,1.19,2.0,4.0,0.0
2,3.0,2.0,1.0,1.0,22.9,6.6,45.8,13.5,4.0,9.0,1.0,1.0,1.19,2.0,4.0,0.0
3,3.0,2.0,1.0,1.0,22.9,6.6,67.2,13.4,4.0,9.0,1.0,1.0,1.19,2.0,4.0,0.0
136,2.0,1.0,0.0,5.0,20.5,5.0,66.39,15.1,4.0,9.0,0.0,0.0,0.9,2.0,4.0,
0,2.0,1.0,0.0,5.0,20.5,5.0,58.0,15.1,4.0,9.0,0.0,0.0,0.9,2.0,4.0,0.0
1,2.0,1.0,0.0,5.0,20.5,5.0,75.4,15.0,4.0,9.0,0.0,0.0,0.9,2.0,4.0,0.0
2,2.0,1.0,0.0,5.0,20.5,5.0,53.1,15.1,4.0,9.0,0.0,0.0,0.9,2.0,4.0,0.0
3,2.0,1.0,0.0,5.0,20.5,5.0,66.3,17.2,4.0,9.0,0.0,0.0,0.9,2.0,4.0,0.0
1283,4.0,3.0,1.0,1.0,17.6,8.4,64.0,14.1,3.0,9.0,1.0,1.0,1.69,2.0,4.0,
0,4.0,3.0,1.0,1.0,17.6,8.4,60.1,13.6,3.0,9.0,1.0,1.0,1.69,2.0,4.0,0.0
1,4.0,3.0,1.0,1.0,17.6,8.4,54.9,14.1,3.0,9.0,1.0,1.0,1.69,2.0,4.0,0.0
2,4.0,3.0,1.0,1.0,17.6,8.4,49.6,13.8,3.0,9.0,1.0,1.0,1.69,2.0,4.0,0.0
3,4.0,3.0,1.0,1.0,17.6,8.4,57.1,15.8,3.0,9.0,1.0,1.0,1.69,2.0,4.0,0.0
304,3.0,1.0,0.0,4.0,22.2,5.2,58.2,14.9,5.0,11.0,0.0,0.0,1.21,2.0,4.0,
0,3.0,1.0,0.0,4.0,22.2,5.2,70.4,14.9,5.0,11.0,0.0,0.0,1.21,2.0,4.0,0.0
1,3.0,1.0,0.0,4.0,22.2,5.2,66.1,15.3,5.0,11.0,0.0,0.0,1.21,2.0,4.0,0.0
2,3.0,1.0,0.0,4.0,22.2,5.2,60.2,17.6,5.0,11.0,0.0,0.0,1.21,2.0,4.0,0.0
3,3.0,1.0,0.0,4.0,22.2,5.2,67.0,13.2,5.0,11.0,0.0,0.0,1.21,2.0,4.0,0.0
1554,2.0,4.0,1.0,2.0,19.6,6.6,60.7,13.0,5.0,11.0,0.0,0.0,1.26,2.0,4.0,
0,2.0,4.0,1.0,2.0,19.6,6.6,64.7,14.5,5.0,11.0,0.0,0.0,1.26,2.0,4.0,0.0
1,2.0,4.0,1.0,2.0,19.6,6.6,72.1,13.0,5.0,11.0,0.0,0.0,1.26,2.0,4.0,0.0
2,2.0,4.0,1.0,2.0,19.6,6.6,60.7,17.5,5.0,11.0,0.0,0.0,1.26,2.0,4.0,0.0
3,2.0,4.0,1.0,2.0,19.6,6.6,60.3,14.0,5.0,11.0,0.0,0.0,1.26,2.0,4.0,0.0
941,1.0,3.0,1.0,3.0,22.4,10.1,46.3,17.0,5.0,12.0,0.0,1.0,1.38,2.0,4.0,
0,1.0,3.0,1.0,3.0,22.4,10.1,45.2,17.0,5.0,12.0,0.0,1.0,1.38,2.0,4.0,0.0
1,1.0,3.0,1.0,3.0,22.4,10.1,46.3,14.9,5.0,12.0,0.0,1.0,1.38,2.0,4.0,0.0
2,1.0,3.0,1.0,3.0,22.4,10.1,46.3,15.0,5.0,12.0,0.0,1.0,1.38,2.0,4.0,0.0
3,1.0,3.0,1.0,3.0,22.4,10.1,55.5,17.0,5.0,12.0,0.0,1.0,1.38,2.0,4.0,0.0
734,3.0,2.0,1.0,1.0,22.9,6.6,60.0,14.1,4.0,9.0,1.0,1.0,1.61,2.0,2.0,
0,3.0,2.0,1.0,1.0,22.9,6.6,68.4,16.1,4.0,9.0,1.0,1.0,1.61,2.0,2.0,0.0
1,3.0,2.0,1.0,1.0,22.9,6.6,61.0,16.5,4.0,9.0,1.0,1.0,1.61,2.0,2.0,0.0
2,3.0,2.0,1.0,1.0,22.9,6.6,48.0,16.6,4.0,9.0,1.0,1.0,1.61,2.0,2.0,0.0
3,3.0,2.0,1.0,1.0,22.9,6.6,62.3,17.6,4.0,9.0,1.0,1.0,1.61,2.0,2.0,0.0
1573,2.0,4.0,1.0,2.0,19.6,6.6,60.7,13.0,5.0,10.0,1.0,0.0,1.07,2.0,4.0,
0,2.0,4.0,1.0,2.0,19.6,6.6,44.5,15.9,5.0,10.0,1.0,0.0,1.07,2.0,4.0,0.0
1,2.0,4.0,1.0,2.0,19.6,6.6,58.4,15.6,5.0,10.0,1.0,0.0,1.07,2.0,4.0,0.0
2,2.0,4.0,1.0,2.0,19.6,6.6,50.0,15.3,5.0,10.0,1.0,0.0,1.07,2.0,4.0,0.0
3,2.0,4.0,1.0,2.0,19.6,6.6,75.0,17.3,5.0,10.0,1.0,0.0,1.07,2.0,4.0,0.0
1495,2.0,4.0,1.0,1.0,19.6,6.6,59.6,14.8,3.0,10.0,0.0,1.0,1.69,2.0,4.0,
0,2.0,4.0,1.0,1.0,19.6,6.6,54.7,15.7,3.0,10.0,0.0,1.0,1.69,2.0,4.0,0.0
1,2.0,4.0,1.0,1.0,19.6,6.6,72.7,16.0,3.0,10.0,0.0,1.0,1.69,2.0,4.0,0.0
2,2.0,4.0,1.0,1.0,19.6,6.6,52.6,14.5,3.0,10.0,0.0,1.0,1.69,2.0,4.0,0.0
3,2.0,4.0,1.0,1.0,19.6,6.6,58.3,14.1,3.0,10.0,0.0,1.0,1.69,2.0,4.0,0.0
1361,4.0,3.0,1.0,2.0,17.6,8.4,69.9,13.4,5.0,10.0,0.0,1.0,1.55,2.0,4.0,
0,4.0,3.0,1.0,2.0,17.6,8.4,73.6,15.1,5.0,10.0,0.0,1.0,1.55,2.0,4.0,0.0
1,4.0,3.0,1.0,2.0,17.6,8.4,61.4,17.5,5.0,10.0,0.0,1.0,1.55,2.0,4.0,0.0
2,4.0,3.0,1.0,2.0,17.6,8.4,49.4,13.4,5.0,10.0,0.0,1.0,1.55,2.0,4.0,0.0
3,4.0,3.0,1.0,2.0,17.6,8.4,46.1,14.9,5.0,10.0,0.0,1.0,1.55,2.0,4.0,0.0
1569,2.0,4.0,1.0,2.0,19.6,6.6,60.7,13.0,5.0,12.0,1.0,0.0,0.9,2.0,4.0,
0,2.0,4.0,1.0,2.0,19.6,6.6,55.9,16.5,5.0,12.0,1.0,0.0,0.9,2.0,4.0,0.0
1,2.0,4.0,1.0,2.0,19.6,6.6,58.3,16.1,5.0,12.0,1.0,0.0,0.9,2.0,4.0,0.0
2,2.0,4.0,1.0,2.0,19.6,6.6,66.3,13.6,5.0,12.0,1.0,0.0,0.9,2.0,4.0,0.0
3,2.0,4.0,1.0,2.0,19.6,6.6,57.6,15.7,5.0,12.0,1.0,0.0,0.9,2.0,4.0,0.0
1904,1.0,5.0,1.0,3.0,20.8,4.2,58.9,14.9,3.0,9.0,1.0,1.0,1.69,2.0,4.0,
0,1.0,5.0,1.0,3.0,20.8,4.2,58.9,14.8,3.0,9.0,1.0,1.0,1.69,2.0,4.0,0.0
1,1.0,5.0,1.0,3.0,20.8,4.2,46.1,13.7,3.0,9.0,1.0,1.0,1.69,2.0,4.0,0.0
2,1.0,5.0,1.0,3.0,20.8,4.2,58.9,16.7,3.0,9.0,1.0,1.0,1.69,2.0,4.0,0.0
3,1.0,5.0,1.0,3.0,20.8,4.2,69.1,14.3,3.0,9.0,1.0,1.0,1.69,2.0,4.0,0.0
1213,3.0,3.0,1.0,2.0,21.2,5.6,60.9,14.0,5.0,10.0,0.0,1.0,1.55,2.0,4.0,
0,3.0,3.0,1.0,2.0,21.2,5.6,63.1,13.8,5.0,10.0,0.0,1.0,1.55,2.0,4.0,0.0
1,3.0,3.0,1.0,2.0,21.2,5.6,51.7,15.1,5.0,10.0,0.0,1.0,1.55,2.0,4.0,0.0
2,3.0,3.0,1.0,2.0,21.2,5.6,66.1,13.2,5.0,10.0,0.0,1.0,1.55,2.0,4.0,0.0
3,3.0,3.0,1.0,2.0,21.2,5.6,65.3,14.3,5.0,10.0,0.0,1.0,1.55,2.0,4.0,0.0
1265,4.0,3.0,1.0,1.0,17.6,8.4,64.0,14.1,3.0,9.0,0.0,1.0,1.44,2.0,4.0,
0,4.0,3.0,1.0,1.0,17.6,8.4,51.9,14.1,3.0,9.0,0.0,1.0,1.44,2.0,4.0,0.0
1,4.0,3.0,1.0,1.0,17.6,8.4,64.0,15.8,3.0,9.0,0.0,1.0,1.44,2.0,4.0,0.0
2,4.0,3.0,1.0,1.0,17.6,8.4,64.9,14.7,3.0,9.0,0.0,1.0,1.44,2.0,4.0,0.0
3,4.0,3.0,1.0,1.0,17.6,8.4,61.4,15.6,3.0,9.0,0.0,1.0,1.44,2.0,4.0,0.0
255,3.0,1.0,0.0,3.0,22.2,5.2,60.4,14.4,4.0,9.0,1.0,0.0,1.43,2.0,4.0,
0,3.0,1.0,0.0,3.0,22.2,5.2,60.1,15.4,4.0,9.0,1.0,0.0,1.43,2.0,4.0,0.0
1,3.0,1.0,0.0,3.0,22.2,5.2,60.6,14.9,4.0,9.0,1.0,0.0,1.43,2.0,4.0,0.0
2,3.0,1.0,0.0,3.0,22.2,5.2,54.3,13.7,4.0,9.0,1.0,0.0,1.43,2.0,4.0,0.0
3,3.0,1.0,0.0,3.0,22.2,5.2,48.1,14.7,4.0,9.0,1.0,0.0,1.43,2.0,4.0,0.0
683,2.0,2.0,1.0,1.0,22.2,5.2,56.9,13.5,4.0,9.0,1.0,1.0,1.19,2.0,4.0,
0,2.0,2.0,1.0,1.0,22.2,5.2,61.8,16.4,4.0,9.0,1.0,1.0,1.19,2.0,4.0,0.0
1,2.0,2.0,1.0,1.0,22.2,5.2,73.7,17.6,4.0,9.0,1.0,1.0,1.19,2.0,4.0,0.0
2,2.0,2.0,1.0,1.0,22.2,5.2,47.0,13.5,4.0,9.0,1.0,1.0,1.19,2.0,4.0,0.0
3,2.0,2.0,1.0,1.0,22.2,5.2,50.8,13.5,4.0,9.0,1.0,1.0,1.19,2.0,4.0,0.0
1888,5.0,4.0,1.0,2.0,20.6,4.6,60.4,13.0,5.0,11.0,0.0,1.0,1.55,2.0,4.0,
0,5.0,4.0,1.0,2.0,20.6,4.6,63.0,13.6,5.0,11.0,0.0,1.0,1.55,2.0,4.0,0.0
1,5.0,4.0,1.0,2.0,20.6,4.6,46.1,13.0,5.0,11.0,0.0,1.0,1.55,2.0,4.0,0.0
2,5.0,4.0,1.0,2.0,20.6,4.6,46.0,14.5,5.0,11.0,0.0,1.0,1.55,2.0,4.0,0.0
3,5.0,4.0,1.0,2.0,20.6,4.6,48.4,13.0,5.0,11.0,0.0,1.0,1.55,2.0,4.0,0.0
1215,3.0,3.0,1.0,2.0,21.2,5.6,60.9,14.0,5.0,11.0,1.0,1.0,1.55,2.0,4.0,
0,3.0,3.0,1.0,2.0,21.2,5.6,51.4,15.9,5.0,11.0,1.0,1.0,1.55,2.0,4.0,0.0
1,3.0,3.0,1.0,2.0,21.2,5.6,73.3,15.3,5.0,11.0,1.0,1.0,1.55,2.0,4.0,0.0
2,3.0,3.0,1.0,2.0,21.2,5.6,63.9,17.5,5.0,11.0,1.0,1.0,1.55,2.0,4.0,0.0
3,3.0,3.0,1.0,2.0,21.2,5.6,70.1,12.9,5.0,11.0,1.0,1.0,1.55,2.0,4.0,0.0
925,1.0,3.0,1.0,2.0,22.4,10.1,48.6,17.0,4.0,10.0,1.0,1.0,1.69,2.0,4.0,
0,1.0,3.0,1.0,2.0,22.4,10.1,69.8,14.3,4.0,10.0,1.0,1.0,1.69,2.0,4.0,0.0
1,1.0,3.0,1.0,2.0,22.4,10.1,54.6,15.4,4.0,10.0,1.0,1.0,1.69,2.0,4.0,0.0
2,1.0,3.0,1.0,2.0,22.4,10.1,55.1,17.0,4.0,10.0,1.0,1.0,1.69,2.0,4.0,0.0
3,1.0,3.0,1.0,2.0,22.4,10.1,50.8,16.7,4.0,10.0,1.0,1.0,1.69,2.0,4.0,0.0
108,2.0,1.0,0.0,4.0,20.5,5.0,66.39,15.6,3.0,8.0,0.0,0.0,1.21,2.0,4.0,
0,2.0,1.0,0.0,4.0,20.5,5.0,69.6,15.4,3.0,8.0,0.0,0.0,1.21,2.0,4.0,0.0
1,2.0,1.0,0.0,4.0,20.5,5.0,68.6,15.6,3.0,8.0,0.0,0.0,1.21,2.0,4.0,0.0
2,2.0,1.0,0.0,4.0,20.5,5.0,48.0,15.6,3.0,8.0,0.0,0.0,1.21,2.0,4.0,0.0
3,2.0,1.0,0.0,4.0,20.5,5.0,58.5,14.6,3.0,8.0,0.0,0.0,1.21,2.0,4.0,0.0
439,5.0,1.0,0.0,2.0,24.2,6.0,53.3,15.1,3.0,7.0,1.0,0.0,1.4,2.0,4.0,
0,5.0,1.0,0.0,2.0,24.2,6.0,73.2,15.1,3.0,7.0,1.0,0.0,1.4,2.0,4.0,0.0
1,5.0,1.0,0.0,2.0,24.2,6.0,63.5,13.9,3.0,7.0,1.0,0.0,1.4,2.0,4.0,0.0
2,5.0,1.0,0.0,2.0,24.2,6.0,69.7,14.8,3.0,7.0,1.0,0.0,1.4,2.0,4.0,0.0
3,5.0,1.0,0.0,2.0,24.2,6.0,46.9,13.6,3.0,7.0,1.0,0.0,1.4,2.0,4.0,0.0
428,4.0,1.0,0.0,3.0,22.9,6.6,53.3,16.0,5.0,12.0,1.0,1.0,1.25,3.0,4.0,
0,4.0,1.0,0.0,3.0,22.9,6.6,55.3,17.1,5.0,12.0,1.0,1.0,1.25,3.0,4.0,0.0
1,4.0,1.0,0.0,3.0,22.9,6.6,46.5,16.0,5.0,12.0,1.0,1.0,1.25,3.0,4.0,0.0
2,4.0,1.0,0.0,3.0,22.9,6.6,53.3,15.7,5.0,12.0,1.0,1.0,1.25,3.0,4.0,0.0
3,4.0,1.0,0.0,3.0,22.9,6.6,51.5,16.0,5.0,12.0,1.0,1.0,1.25,3.0,4.0,0.0
1214,3.0,3.0,1.0,2.0,21.2,5.6,60.9,14.0,5.0,11.0,1.0,1.0,1.55,2.0,4.0,
0,3.0,3.0,1.0,2.0,21.2,5.6,45.1,13.1,5.0,11.0,1.0,1.0,1.55,2.0,4.0,0.0
1,3.0,3.0,1.0,2.0,21.2,5.6,51.1,14.1,5.0,11.0,1.0,1.0,1.55,2.0,4.0,0.0
2,3.0,3.0,1.0,2.0,21.2,5.6,68.3,12.9,5.0,11.0,1.0,1.0,1.55,2.0,4.0,0.0
3,3.0,3.0,1.0,2.0,21.2,5.6,49.4,14.0,5.0,11.0,1.0,1.0,1.55,2.0,4.0,0.0
386,4.0,1.0,0.0,3.0,22.9,6.6,54.6,14.0,4.0,10.0,0.0,0.0,1.21,2.0,4.0,
0,4.0,1.0,0.0,3.0,22.9,6.6,70.0,15.3,4.0,10.0,0.0,0.0,1.21,2.0,4.0,0.0
1,4.0,1.0,0.0,3.0,22.9,6.6,53.0,14.0,4.0,10.0,0.0,0.0,1.21,2.0,4.0,0.0
2,4.0,1.0,0.0,3.0,22.9,6.6,47.9,14.2,4.0,10.0,0.0,0.0,1.21,2.0,4.0,0.0
3,4.0,1.0,0.0,3.0,22.9,6.6,63.4,15.7,4.0,10.0,0.0,0.0,1.21,2.0,4.0,0.0
639,2.0,2.0,1.0,1.0,22.2,5.2,65.0,14.6,3.0,8.0,1.0,1.0,1.77,2.0,1.0,
0,2.0,2.0,1.0,1.0,22.2,5.2,63.7,14.3,3.0,8.0,1.0,1.0,1.77,2.0,1.0,0.0
1,2.0,2.0,1.0,1.0,22.2,5.2,54.3,14.6,3.0,8.0,1.0,1.0,1.77,2.0,1.0,0.0
2,2.0,2.0,1.0,1.0,22.2,5.2,69.8,12.8,3.0,8.0,1.0,1.0,1.77,2.0,1.0,0.0
3,2.0,2.0,1.0,1.0,22.2,5.2,48.1,14.6,3.0,8.0,1.0,1.0,1.77,2.0,1.0,0.0
377,4.0,1.0,0.0,3.0,22.9,6.6,59.0,14.0,4.0,12.0,1.0,0.0,1.21,2.0,4.0,
0,4.0,1.0,0.0,3.0,22.9,6.6,50.5,14.0,4.0,12.0,1.0,0.0,1.21,2.0,4.0,0.0
1,4.0,1.0,0.0,3.0,22.9,6.6,73.8,14.0,4.0,12.0,1.0,0.0,1.21,2.0,4.0,0.0
2,4.0,1.0,0.0,3.0,22.9,6.6,71.1,16.2,4.0,12.0,1.0,0.0,1.21,2.0,4.0,0.0
3,4.0,1.0,0.0,3.0,22.9,6.6,69.1,14.0,4.0,12.0,1.0,0.0,1.21,2.0,4.0,0.0
