Index,DAY,School,SchoolType,StartTime,AvgMaxDailyTemp,AvgMinDailyTemp,AvgIndoorRelativeHumidity,IndoorTempDuringSurvey,Grade,Age,Gender,FormalClothing,TotalCLOwithChair,SwC,MC,TCV
1,3.0,1.0,0.0,4.0,22.2,5.2,73.8,17.5,5.0,11.0,0.0,0.0,1.21,2.0,4.0,2.0
2,3.0,1.0,0.0,4.0,22.2,5.2,58.2,14.3,5.0,11.0,0.0,0.0,1.21,2.0,4.0,2.0
3,3.0,1.0,0.0,4.0,22.2,5.2,58.2,15.2,5.0,11.0,0.0,0.0,1.21,2.0,4.0,2.0
1554,2.0,4.0,1.0,2.0,19.6,6.6,60.7,13.0,5.0,11.0,0.0,0.0,1.26,2.0,4.0,
0,2.0,4.0,1.0,2.0,19.6,6.6,45.6,13.0,5.0,11.0,0.0,0.0,1.26,2.0,4.0,2.0
1,2.0,4.0,1.0,2.0,19.6,6.6,55.4,13.4,5.0,11.0,0.0,0.0,1.26,2.0,4.0,2.0
2,2.0,4.0,1.0,2.0,19.6,6.6,64.9,14.9,5.0,11.0,0.0,0.0,1.26,2.0,4.0,2.0
3,2.0,4.0,1.0,2.0,19.6,6.6,73.2,12.9,5.0,11.0,0.0,0.0,1.26,2.0,4.0,2.0
941,1.0,3.0,1.0,3.0,22.4,10.1,46.3,17.0,5.0,12.0,0.0,1.0,1.38,2.0,4.0,
0,1.0,3.0,1.0,3.0,22.4,10.1,72.4,15.7,5.0,12.0,0.0,1.0,1.38,2.0,4.0,2.0
1,1.0,3.0,1.0,3.0,22.4,10.1,51.3,17.4,5.0,12.0,0.0,1.0,1.38,2.0,4.0,2.0
2,1.0,3.0,1.0,3.0,22.4,10.1,71.1,17.0,5.0,12.0,0.0,1.0,1.38,2.0,4.0,2.0
3,1.0,3.0,1.0,3.0,22.4,10.1,55.0,17.0,5.0,12.0,0.0,1.0,1.38,2.0,4.0,2.0
734,3.0,2.0,1.0,1.0,22.9,6.6,60.0,14.1,4.0,9.0,1.0,1.0,1.61,2.0,2.0,
0,3.0,2.0,1.0,1.0,22.9,6.6,60.0,17.6,4.0,9.0,1.0,1.0,1.61,2.0,2.0,2.0
1,3.0,2.0,1.0,1.0,22.9,6.6,47.5,17.0,4.0,9.0,1.0,1.0,1.61,2.0,2.0,2.0
2,3.0,2.0,1.0,1.0,22.9,6.6,57.3,16.9,4.0,9.0,1.0,1.0,1.61,2.0,2.0,2.0
3,3.0,2.0,1.0,1.0,22.9,6.6,74.3,15.6,4.0,9.0,1.0,1.0,1.61,2.0,2.0,2.0
1573,2.0,4.0,1.0,2.0,19.6,6.6,60.7,13.0,5.0,10.0,1.0,0.0,1.07,2.0,4.0,
0,2.0,4.0,1.0,2.0,19.6,6.6,75.1,13.0,5.0,10.0,1.0,0.0,1.07,2.0,4.0,2.0
1,2.0,4.0,1.0,2.0,19.6,6.6,73.9,13.0,5.0,10.0,1.0,0.0,1.07,2.0,4.0,2.0
2,2.0,4.0,1.0,2.0,19.6,6.6,48.3,12.9,5.0,10.0,1.0,0.0,1.07,2.0,4.0,2.0
3,2.0,4.0,1.0,2.0,19.6,6.6,64.2,16.4,5.0,10.0,1.0,0.0,1.07,2.0,4.0,2.0
1495,2.0,4.0,1.0,1.0,19.6,6.6,59.6,14.8,3.0,10.0,0.0,1.0,1.69,2.0,4.0,
0,2.0,4.0,1.0,1.0,19.6,6.6,53.4,13.4,3.0,10.0,0.0,1.0,1.69,2.0,4.0,2.0
1,2.0,4.0,1.0,1.0,19.6,6.6,50.5,17.0,3.0,10.0,0.0,1.0,1.69,2.0,4.0,2.0
2,2.0,4.0,1.0,1.0,19.6,6.6,46.9,16.0,3.0,10.0,0.0,1.0,1.69,2.0,4.0,2.0
3,2.0,4.0,1.0,1.0,19.6,6.6,48.8,17.3,3.0,10.0,0.0,1.0,1.69,2.0,4.0,2.0
1361,4.0,3.0,1.0,2.0,17.6,8.4,69.9,13.4,5.0,10.0,0.0,1.0,1.55,2.0,4.0,
0,4.0,3.0,1.0,2.0,17.6,8.4,54.1,16.7,5.0,10.0,0.0,1.0,1.55,2.0,4.0,2.0
1,4.0,3.0,1.0,2.0,17.6,8.4,66.3,13.4,5.0,10.0,0.0,1.0,1.55,2.0,4.0,2.0
2,4.0,3.0,1.0,2.0,17.6,8.4,55.4,13.4,5.0,10.0,0.0,1.0,1.55,2.0,4.0,2.0
3,4.0,3.0,1.0,2.0,17.6,8.4,72.6,17.3,5.0,10.0,0.0,1.0,1.55,2.0,4.0,2.0
1569,2.0,4.0,1.0,2.0,19.6,6.6,60.7,13.0,5.0,12.0,1.0,0.0,0.9,2.0,4.0,
0,2.0,4.0,1.0,2.0,19.6,6.6,60.7,15.1,5.0,12.0,1.0,0.0,0.9,2.0,4.0,2.0
1,2.0,4.0,1.0,2.0,19.6,6.6,46.4,13.0,5.0,12.0,1.0,0.0,0.9,2.0,4.0,2.0
2,2.0,4.0,1.0,2.0,19.6,6.6,53.5,13.0,5.0,12.0,1.0,0.0,0.9,2.0,4.0,2.0
3,2.0,4.0,1.0,2.0,19.6,6.6,50.9,13.0,5.0,12.0,1.0,0.0,0.9,2.0,4.0,2.0
1904,1.0,5.0,1.0,3.0,20.8,4.2,58.9,14.9,3.0,9.0,1.0,1.0,1.69,2.0,4.0,
0,1.0,5.0,1.0,3.0,20.8,4.2,48.5,16.7,3.0,9.0,1.0,1.0,1.69,2.0,4.0,2.0
1,1.0,5.0,1.0,3.0,20.8,4.2,60.4,14.0,3.0,9.0,1.0,1.0,1.69,2.0,4.0,2.0
2,1.0,5.0,1.0,3.0,20.8,4.2,48.6,14.9,3.0,9.0,1.0,1.0,1.69,2.0,4.0,2.0
3,1.0,5.0,1.0,3.0,20.8,4.2,62.6,14.9,3.0,9.0,1.0,1.0,1.69,2.0,4.0,2.0
1213,3.0,3.0,1.0,2.0,21.2,5.6,60.9,14.0,5.0,10.0,0.0,1.0,1.55,2.0,4.0,
0,3.0,3.0,1.0,2.0,21.2,5.6,52.5,14.6,5.0,10.0,0.0,1.0,1.55,2.0,4.0,2.0
1,3.0,3.0,1.0,2.0,21.2,5.6,54.8,14.0,5.0,10.0,0.0,1.0,1.55,2.0,4.0,2.0
2,3.0,3.0,1.0,2.0,21.2,5.6,50.2,14.6,5.0,10.0,0.0,1.0,1.55,2.0,4.0,2.0
3,3.0,3.0,1.0,2.0,21.2,5.6,59.4,15.7,5.0,10.0,0.0,1.0,1.55,2.0,4.0,2.0
1265,4.0,3.0,1.0,1.0,17.6,8.4,64.0,14.1,3.0,9.0,0.0,1.0,1.44,2.0,4.0,
0,4.0,3.0,1.0,1.0,17.6,8.4,44.5,14.3,3.0,9.0,0.0,1.0,1.44,2.0,4.0,2.0
1,4.0,3.0,1.0,1.0,17.6,8.4,63.0,15.8,3.0,9.0,0.0,1.0,1.44,2.0,4.0,2.0
2,4.0,3.0,1.0,1.0,17.6,8.4,68.4,14.1,3.0,9.0,0.0,1.0,1.44,2.0,4.0,2.0
3,4.0,3.0,1.0,1.0,17.6,8.4,48.7,13.4,3.0,9.0,0.0,1.0,1.44,2.0,4.0,2.0
255,3.0,1.0,0.0,3.0,22.2,5.2,60.4,14.4,4.0,9.0,1.0,0.0,1.43,2.0,4.0,
0,3.0,1.0,0.0,3.0,22.2,5.2,65.1,14.4,4.0,9.0,1.0,0.0,1.43,2.0,4.0,2.0
1,3.0,1.0,0.0,3.0,22.2,5.2,54.3,16.1,4.0,9.0,1.0,0.0,1.43,2.0,4.0,2.0
2,3.0,1.0,0.0,3.0,22.2,5.2,59.6,14.4,4.0,9.0,1.0,0.0,1.43,2.0,4.0,2.0
3,3.0,1.0,0.0,3.0,22.2,5.2,74.3,13.2,4.0,9.0,1.0,0.0,1.43,2.0,4.0,2.0
683,2.0,2.0,1.0,1.0,22.2,5.2,56.9,13.5,4.0,9.0,1.0,1.0,1.19,2.0,4.0,
0,2.0,2.0,1.0,1.0,22.2,5.2,47.6,13.6,4.0,9.0,1.0,1.0,1.19,2.0,4.0,2.0
1,2.0,2.0,1.0,1.0,22.2,5.2,72.6,15.1,4.0,9.0,1.0,1.0,1.19,2.0,4.0,2.0
2,2.0,2.0,1.0,1.0,22.2,5.2,61.4,16.6,4.0,9.0,1.0,1.0,1.19,2.0,4.0,2.0
3,2.0,2.0,1.0,1.0,22.2,5.2,72.5,13.5,4.0,9.0,1.0,1.0,1.19,2.0,4.0,2.0
1888,5.0,4.0,1.0,2.0,20.6,4.6,60.4,13.0,5.0,11.0,0.0,1.0,1.55,2.0,4.0,
0,5.0,4.0,1.0,2.0,20.6,4.6,60.6,14.8,5.0,11.0,0.0,1.0,1.55,2.0,4.0,2.0
1,5.0,4.0,1.0,2.0,20.6,4.6,60.0,14.5,5.0,11.0,0.0,1.0,1.55,2.0,4.0,2.0
2,5.0,4.0,1.0,2.0,20.6,4.6,46.2,13.0,5.0,11.0,0.0,1.0,1.55,2.0,4.0,2.0
3,5.0,4.0,1.0,2.0,20.6,4.6,72.8,14.9,5.0,11.0,0.0,1.0,1.55,2.0,4.0,2.0
1215,3.0,3.0,1.0,2.0,21.2,5.6,60.9,14.0,5.0,11.0,1.0,1.0,1.55,2.0,4.0,
0,3.0,3.0,1.0,2.0,21.2,5.6,46.6,14.0,5.0,11.0,1.0,1.0,1.55,2.0,4.0,2.0
1,3.0,3.0,1.0,2.0,21.2,5.6,55.5,14.9,5.0,11.0,1.0,1.0,1.55,2.0,4.0,2.0
2,3.0,3.0,1.0,2.0,21.2,5.6,60.9,16.0,5.0,11.0,1.0,1.0,1.55,2.0,4.0,2.0
3,3.0,3.0,1.0,2.0,21.2,5.6,75.6,15.1,5.0,11.0,1.0,1.0,1.55,2.0,4.0,2.0
925,1.0,3.0,1.0,2.0,22.4,10.1,48.6,17.0,4.0,10.0,1.0,1.0,1.69,2.0,4.0,
0,1.0,3.0,1.0,2.0,22.4,10.1,65.3,14.2,4.0,10.0,1.0,1.0,1.69,2.0,4.0,2.0
1,1.0,3.0,1.0,2.0,22.4,10.1,73.6,13.6,4.0,10.0,1.0,1.0,1.69,2.0,4.0,2.0
2,1.0,3.0,1.0,2.0,22.4,10.1,49.9,14.4,4.0,10.0,1.0,1.0,1.69,2.0,4.0,2.0
3,1.0,3.0,1.0,2.0,22.4,10.1,52.6,16.0,4.0,10.0,1.0,1.0,1.69,2.0,4.0,2.0
108,2.0,1.0,0.0,4.0,20.5,5.0,66.39,15.6,3.0,8.0,0.0,0.0,1.21,2.0,4.0,
0,2.0,1.0,0.0,4.0,20.5,5.0,54.8,15.6,3.0,8.0,0.0,0.0,1.21,2.0,4.0,2.0
1,2.0,1.0,0.0,4.0,20.5,5.0,55.1,13.0,3.0,8.0,0.0,0.0,1.21,2.0,4.0,2.0
2,2.0,1.0,0.0,4.0,20.5,5.0,64.9,16.5,3.0,8.0,0.0,0.0,1.21,2.0,4.0,2.0
3,2.0,1.0,0.0,4.0,20.5,5.0,45.4,15.6,3.0,8.0,0.0,0.0,1.21,2.0,4.0,2.0
439,5.0,1.0,0.0,2.0,24.2,6.0,53.3,15.1,3.0,7.0,1.0,0.0,1.4,2.0,4.0,
0,5.0,1.0,0.0,2.0,24.2,6.0,53.4,15.3,3.0,7.0,1.0,0.0,1.4,2.0,4.0,2.0
1,5.0,1.0,0.0,2.0,24.2,6.0,57.9,15.9,3.0,7.0,1.0,0.0,1.4,2.0,4.0,2.0
2,5.0,1.0,0.0,2.0,24.2,6.0,51.7,13.4,3.0,7.0,1.0,0.0,1.4,2.0,4.0,2.0
3,5.0,1.0,0.0,2.0,24.2,6.0,46.3,13.0,3.0,7.0,1.0,0.0,1.4,2.0,4.0,2.0
428,4.0,1.0,0.0,3.0,22.9,6.6,53.3,16.0,5.0,12.0,1.0,1.0,1.25,3.0,4.0,
0,4.0,1.0,0.0,3.0,22.9,6.6,51.2,16.0,5.0,12.0,1.0,1.0,1.25,3.0,4.0,2.0
1,4.0,1.0,0.0,3.0,22.9,6.6,58.6,13.3,5.0,12.0,1.0,1.0,1.25,3.0,4.0,2.0
2,4.0,1.0,0.0,3.0,22.9,6.6,50.9,15.2,5.0,12.0,1.0,1.0,1.25,3.0,4.0,2.0
3,4.0,1.0,0.0,3.0,22.9,6.6,73.1,15.1,5.0,12.0,1.0,1.0,1.25,3.0,4.0,2.0
1214,3.0,3.0,1.0,2.0,21.2,5.6,60.9,14.0,5.0,11.0,1.0,1.0,1.55,2.0,4.0,
0,3.0,3.0,1.0,2.0,21.2,5.6,72.5,14.4,5.0,11.0,1.0,1.0,1.55,2.0,4.0,2.0
1,3.0,3.0,1.0,2.0,21.2,5.6,51.9,17.1,5.0,11.0,1.0,1.0,1.55,2.0,4.0,2.0
2,3.0,3.0,1.0,2.0,21.2,5.6,53.9,14.0,5.0,11.0,1.0,1.0,1.55,2.0,4.0,2.0
3,3.0,3.0,1.0,2.0,21.2,5.6,44.3,14.7,5.0,11.0,1.0,1.0,1.55,2.0,4.0,2.0
386,4.0,1.0,0.0,3.0,22.9,6.6,54.6,14.0,4.0,10.0,0.0,0.0,1.21,2.0,4.0,
0,4.0,1.0,0.0,3.0,22.9,6.6,56.4,13.8,4.0,10.0,0.0,0.0,1.21,2.0,4.0,2.0
1,4.0,1.0,0.0,3.0,22.9,6.6,57.7,14.0,4.0,10.0,0.0,0.0,1.21,2.0,4.0,2.0
2,4.0,1.0,0.0,3.0,22.9,6.6,49.6,14.0,4.0,10.0,0.0,0.0,1.21,2.0,4.0,2.0
3,4.0,1.0,0.0,3.0,22.9,6.6,70.1,17.3,4.0,10.0,0.0,0.0,1.21,2.0,4.0,2.0
639,2.0,2.0,1.0,1.0,22.2,5.2,65.0,14.6,3.0,8.0,1.0,1.0,1.77,2.0,1.0,
0,2.0,2.0,1.0,1.0,22.2,5.2,47.9,15.5,3.0,8.0,1.0,1.0,1.77,2.0,1.0,2.0
1,2.0,2.0,1.0,1.0,22.2,5.2,65.0,15.3,3.0,8.0,1.0,1.0,1.77,2.0,1.0,2.0
2,2.0,2.0,1.0,1.0,22.2,5.2,53.0,14.5,3.0,8.0,1.0,1.0,1.77,2.0,1.0,2.0
3,2.0,2.0,1.0,1.0,22.2,5.2,64.7,14.6,3.0,8.0,1.0,1.0,1.77,2.0,1.0,2.0
377,4.0,1.0,0.0,3.0,22.9,6.6,59.0,14.0,4.0,12.0,1.0,0.0,1.21,2.0,4.0,
0,4.0,1.0,0.0,3.0,22.9,6.6,75.3,14.0,4.0,12.0,1.0,0.0,1.21,2.0,4.0,2.0
1,4.0,1.0,0.0,3.0,22.9,6.6,64.4,13.6,4.0,12.0,1.0,0.0,1.21,2.0,4.0,2.0
2,4.0,1.0,0.0,3.0,22.9,6.6,75.2,13.7,4.0,12.0,1.0,0.0,1.21,2.0,4.0,2.0
3,4.0,1.0,0.0,3.0,22.9,6.6,66.8,16.4,4.0,12.0,1.0,0.0,1.21,2.0,4.0,2.0
